1;Mineralische Baustoffe
2;Dämmstoffe
3;Holz
4;Metalle
5;Beschichtungen
6;Kunststoffe
7;Komponenten von Fenstern und Vorhangfassaden
8;Gebäudetechnik
9;Sonstige
10;Komposite
100;End of Life
